epoch,train_loss
1,0.6146647946192668
2,0.32315541093166056
3,0.15964507401849215
4,0.06196656903395286
5,0.030827764645129298
6,0.010642786224623425
7,0.014617358482568166
8,0.0033517789341903363
9,0.0007872802598845178
10,0.0005600689336670956
11,0.00041589721737322037
12,0.000387252602740773
13,0.00031764535608370075
14,0.00024247565499815838
15,0.00020882602114467703
16,0.00017706150639032085
17,0.00015595163665868593
18,0.00013598458789461942
19,0.00011473261311738707
20,0.00011563057923922316
